🥦港台,#genre#
Now星影台,http://rihou.cc:555/tv/[Bx]Now星影
Now爆谷台,http://rihou.cc:555/tv/[Bx]Now爆谷
CHU综合,http://rihou.cc:555/tv/[Pd]CHU综合
CH8综合,http://rihou.cc:555/tv/[Pd]CH8综合
八度空间,http://rihou.cc:555/tv/[Pd]八度空间
黄金翡翠欣赏,http://rihou.cc:555/tv/[Hk]黄金翡翠
黄金华剧欣赏,http://rihou.cc:555/tv/[Hk]黄金华剧
TVB 无线功夫国语,http://rihou.cc:555/tv/[Hk]无线功夫
无线功夫粤赏,http://rihou.cc:555/tv/[Pd]无线功夫
无线千禧欣赏,http://rihou.cc:555/tv/[Bx]无线千禧
无线生活欣赏,http://rihou.cc:555/tv/[Hk]无线生活
无线娱乐欣赏,http://rihou.cc:555/tv/[PL]无线娱乐
华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
Astro AEC,https://o11.163189.xyz/stream/live/aec/
Astro QJ,https://o11.163189.xyz/stream/live/qj/
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
无线明珠粤,http://php.jdshipin.com/PLTV/iptv.php?id=mzt2
无线明珠,http://php.jdshipin.com/PLTV/iptv.php?id=mzt
粤语综艺轮播,http://lxajh.top/tv/douyu.php?id=7919720
粤语版电影三,http://lxajh.top/tv/douyu.php?id=1226741
镜新闻,https://d36dgdk71xuzzg.cloudfront.net/v1/manifest/3a2ac8e6b6c76471996ebf627393d9c9417a60b6/linetv-6-627778910172-MediaTailor-production/c9b2313d-efdd-4777-9fae-573be8a86755/0.m3u8
🥕镜新闻,https://d36dgdk71xuzzg.cloudfront.net/v1/manifest/3a2ac8e6b6c76471996ebf627393d9c9417a60b6/linetv-6-627778910172-MediaTailor-production/f4d56046-82ba-474e-8499-ab2353dc7a9b/1.m3u8
TVB剧集台,https://6.cdn.loc.cc/163189.php?id=tvbd
TVB1,https://6.cdn.loc.cc/163189.php?id=tvb1
武功1,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
武功,https://cdn6.101.qzz.io/163189/yzwx
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华经典,https://cdn8.163189.xyz/163189/lhjd
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
HOY 77,https://cdn6.101.qzz.io/163189/hoy
凤凰资讯台,https://cdn6.101.qzz.io/163189/fhzx
凤凰香港台,https://cdn6.101.qzz.io/163189/fhhk
凤凰电影台,http://www.liyajun.top:7088/udp/239.253.93.81:6247
新加波5频道,https://cdn6.101.qzz.io/163189/ch5
新加波8频道,https://cdn6.101.qzz.io/163189/ch8
新加波U频道,https://cdn6.101.qzz.io/163189/chu
CH5,http://cdn6.163189.xyz/163189/ch5
CH8,http://cdn6.163189.xyz/163189/ch8
CHU,http://cdn6.163189.xyz/163189/chu
TVB Plus,https://cdn6.101.qzz.io/163189/tvbp
TVB 星河,https://cdn6.101.qzz.io/163189/tvbxh
无线新闻台,https://cdn6.101.qzz.io/163189/wxxw
🍺无线功夫,https://cdn6.101.qzz.io/163189/yzwx
🍺澳视澳门,https://cdn6.101.qzz.io/163189/asam
欧洲华文-1台,http://oh.eztv.vip/live/eztv1.m3u8
欧洲华文-2台,http://oh.eztv.vip/live/eztv2.m3u8
TVB1,https://6.cdn.loc.cc/163189.php?id=tvb1
翡翠剧集台,https://6.cdn.loc.cc/163189.php?id=tvbd
RTHK 31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK 32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
RTHK 33,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
1905环球经典,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
1905国内电影,http://8.138.7.223/tv/1905.php?id=LIVEOYY31H24H48NE
CCTV6,http://8.138.7.223/tv/1905.php?id=LIVE28XN12SUI4GWG
1905力量影院,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905环球经典,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
1905a,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
1905b,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905b
CCTV-6,http://xxwx.yoesun.com/xxw/1905电影网.php?id=cctv6
美亚电影(台),P2p://starvod.xyz:19806/f9cdad09f3cc47bc83ba1d94167ebe64.ts
数位电影,P2p://starvod.xyz:19806/37350129294343bcb28f6494c7ce4c07.ts
数位电影,http://152.32.229.52:5050/4gtv-4gtv011/index.m3u8?proxy=true
🍑凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
🍑凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
🍑凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
🍑无线新闻台,http://php.jdshipin.com:8880/smt.php?id=inews_twn
🍑翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
🍑无线华丽台,http://php.jdshipin.com:8880/smt.php?id=Tvbjade
🍑明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
🍑星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
🍑无线娱乐台,http://php.jdshipin.com:8880/smt.php?id=Tvbentertainment
🍑无线千禧台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
🍑RTHK-31,http://php.jdshipin.com:8880/smt.php?id=rhk31_twn
🍑RTHK-32,http://php.jdshipin.com:8880/smt.php?id=rhk32_twn
🍑VIUTV,http://php.jdshipin.com:8880/smt.php?id=viu1_twn
🍑VIU6TV,http://php.jdshipin.com:8880/smt.php?id=viusix_twn
🍑美亚电影,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
🍑天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestial
🍑天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2
🍎Astr爱奇艺,http://php.jdshipin.com:8880/smt.php?id=Qiyi
🍎AstrQJ,http://php.jdshipin.com:8880/smt.php?id=Quanjia
🍎Astr-AoD,http://php.jdshipin.com:8880/smt.php?id=Aodhd
🍎Astr-AeC,http://php.jdshipin.com:8880/smt.php?id=AEC
🍎Astr,http://php.jdshipin.com:8880/smt.php?id=Huahee
TVBPlus,https://smt.1678520.xyz/smt3.2.1.php?id=j2_twn
凤凰中文,https://smt.1678520.xyz/smt3.2.1.php?id=phoenixtv_hd
凤凰资讯,https://smt.1678520.xyz/smt3.2.1.php?id=phoenixinfo_hd
凤凰香港,https://smt.1678520.xyz/smt3.2.1.php?id=hkphoenix_twn
无线新闻台,https://smt.1678520.xyz/smt3.2.1.php?id=inews_twn
翡翠台,https://smt.1678520.xyz/smt3.2.1.php?id=jade_twn
无线华丽台,https://smt.1678520.xyz/smt3.2.1.php?id=Tvbjade
明珠台,https://smt.1678520.xyz/smt3.2.1.php?id=pearl_twn
星河,https://smt.1678520.xyz/smt3.2.1.php?id=Xinhe
无线娱乐台,https://smt.1678520.xyz/smt3.2.1.php?id=Tvbentertainment
无线千禧台,https://smt.1678520.xyz/smt3.2.1.php?id=Tvbclassic
RTHK-31,https://smt.1678520.xyz/smt3.2.1.php?id=rhk31_twn
RTHK-32,https://smt.1678520.xyz/smt3.2.1.php?id=rhk32_twn
VIUTV,https://smt.1678520.xyz/smt3.2.1.php?id=viu1_twn
VIU6TV,https://smt.1678520.xyz/smt3.2.1.php?id=viusix_twn
美亚电影,https://smt.1678520.xyz/smt3.2.1.php?id=meiyamovie_twn
天映频道,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial
天映经典,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial2
Astr爱奇艺,https://smt.1678520.xyz/smt3.2.1.php?id=Qiyi
AstrQJ,https://smt.1678520.xyz/smt3.2.1.php?id=Quanjia
Astr-AoD,https://smt.1678520.xyz/smt3.2.1.php?id=Aodhd
Astr-AeC,https://smt.1678520.xyz/smt3.2.1.php?id=AEC
Astr欢喜,https://smt.1678520.xyz/smt3.2.1.php?id=Huahee
無綫新聞台,http://tl.061833.xyz/tl/null-11
中國電影頻道,http://tl.061833.xyz/tl/null-6
亞洲劇台,http://tl.061833.xyz/tl/null-13
千禧經典台,http://tl.061833.xyz/tl/null-3
天映经典,http://tl.061833.xyz/tl/null-1
戲曲台,http://tl.061833.xyz/tl/null-15
明珠台,http://tl.061833.xyz/tl/null-12
星河频道,http://tl.061833.xyz/tl/null-7
功夫台,http://tl.061833.xyz/tl/null-17
粵語片台,http://tl.061833.xyz/tl/null-10
美亞電影台,http://tl.061833.xyz/tl/null-5
翡翠台,http://tl.061833.xyz/tl/null
華語劇台,http://tl.061833.xyz/tl/null-4
黄金翡翠台,http://tl.061833.xyz/tl/null-2
黄金华剧台,http://tl.061833.xyz/tl/null-9
TVBPlus,http://tl.061833.xyz/tl/pluse
娛樂新聞台,http://tl.061833.xyz/tl/null-14
Animax,http://tl.061833.xyz/tl/animax
AXN,http://tl.061833.xyz/tl/axn
KIX,http://tl.061833.xyz/tl/kix
LoveNatureHD,http://tl.061833.xyz/tl/lovenaturehd
myTVSUPER18台,http://tl.061833.xyz/tl/mytvsuper18
myTVSUPERFREE,http://tl.061833.xyz/tl/mytvsuperfree
NickJr,http://tl.061833.xyz/tl/nickjr
Nickelodeon,http://tl.061833.xyz/tl/nickelodeon
ROCKAction,http://tl.061833.xyz/tl/rockaction
ROCK綜藝娛樂,http://tl.061833.xyz/tl/rock
SUPERKidsChannel,http://tl.061833.xyz/tl/superkidschannel
ZooMoo,http://tl.061833.xyz/tl/zoomoo
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
中旺电视,http://38.64.72.148:80/hls/modn/list/4010/chunklist1.m3u8
重温经典频道,http://m.061899.xyz/mg/cwjd
重温经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
新唐人,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8
RTHK 31,http://php.jdshipin.com/TVOD/iptv.php?id=rthk31
RTHK 32,http://php.jdshipin.com/TVOD/iptv.php?id=rthk32
RTHK 33,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
PTV,http://iptv.zkbhj.com/tv/url/go?id=467ff2c3dd95c95fa5355ba9e2e53013f2325e82e1723382000c25c9009b1449703a53d8cb741b92224765715d1a7388d43b8da7f422852ecf86f83de913c00f
CH5,http://cdn6.163189.xyz/163189/ch5
CH8,http://cdn6.163189.xyz/163189/ch8
CHU,http://cdn6.163189.xyz/163189/chu
凤凰电影,,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
🍋极速168,#genre#
HOY76,http://hls.168.us.kg/u/76/master.m3u8
HOY77,http://hls.168.us.kg/u/77/master.m3u8
